Model,href,Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,Accidents or damage,1-owner vehicle,Personal use only,Price
2020 Toyota Tundra Platinum,/vehicledetail/174d26b8-a299-432a-9104-37b503b4e8ad/,Super White,Black,Four-wheel Drive,"13–17



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TFAY5F15LX927145,A927145,"63,950 mi.",None reported,Yes,Yes,"$45,185"
2019 Subaru Crosstrek 2.0i,/vehicledetail/964a340b-94de-45bc-b88d-f130c3e4cf84/,Crystal White Pearl,Black,All-wheel Drive,"23–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Manual,2.0L H4 16V GDI DOHC,JF2GTAAC5KG286217,5SU86217,"17,044 mi.",None reported,Yes,No,"$23,593"
2016 Mazda CX-9 Grand Touring,/vehicledetail/e1dcf4a9-5272-4c40-8765-57ddf67b1bfb/,Sonic Silver Metallic,Black,All-wheel Drive,"21–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,JM3TCBDY1G0106796,P4969,"65,021 mi.",None reported,Yes,Yes,"$24,604"
2019 INFINITI Q50 3.0t LUXE,/vehicledetail/4f9f2efd-62d7-4518-85af-5d11ddb2dd51/,Majestic White,Wheat,All-wheel Drive,"19–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"3L V-6 gasoline direct injection, DOHC, variable valve control,",JN1EV7AR1KM593380,593380,"33,858 mi.",None reported,Yes,Yes,"$23,995"
2015 Toyota Prius Four,/vehicledetail/b8f921f9-29cd-4e15-91a4-03d063c39843/,Gray,Gray,Front-wheel Drive,"51–48



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTDKN3DUXF0462535,S23546B,"88,261 mi.",At least 1 accident or damage reported,No,Yes,"$16,428"
2004 Toyota 4Runner Limited,/vehicledetail/01c22619-c400-4b4b-aa68-2198b269bccc/,Titanium Metallic,Stone,Four-wheel Drive,"18–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,4-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU17R340047385,14110,"233,546 mi.",At least 1 accident or damage reported,Yes,No,"$8,457"
2018 Lexus LS 500 Base,/vehicledetail/a24cd8f4-856c-4c93-92d5-6e24cb8f1a1d/,Eminent White Pearl,Black,Rear-wheel Drive,"19–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,JTHB51FF0J5001762,P12236,"45,838 mi.",None reported,No,Yes,"$47,885"
2020 Lexus NX 300 F Sport,/vehicledetail/0476c54b-961a-4988-8e87-c9514abf4d11/,Eminent White Pearl,Red,Front-wheel Drive,"22–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,JTJAARBZ0L5001669,1L0910P,"21,495 mi.",None reported,Yes,Yes,"$37,181"
2019 Lexus ES 350 F Sport,/vehicledetail/38640801-c029-4c64-a6e5-b3f243a70ac5/,Ultrasonic Blue Mica,Black,Front-wheel Drive,"22–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,58ABZ1B18KU011628,U4181,"23,314 mi.",None reported,Yes,Yes,"$37,900"
2020 Lincoln Corsair Standard,/vehicledetail/d2379c0d-36fb-424c-8248-c749d00303c9/,Red Carpet,Sandstone,All-wheel Drive,"21–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5LMCJ1D92LUL29149,LL26760A,"23,468 mi.",None reported,Yes,Yes,"$32,002"
2019 BMW 540 i xDrive,/vehicledetail/4d513beb-e1b8-4bcd-a902-1bccc466ddf0/,Jet Black,Canberra Beige,All-wheel Drive,"21–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBAJE7C55KWW20457,44297,"30,231 mi.",At least 1 accident or damage reported,Yes,Yes,"$37,414"
2016 Mercedes-Benz SLK-Class SLK350,/vehicledetail/a80e7ae7-d230-4970-90d3-2ca9e55238ab/,Black,Black,Rear-wheel Drive,"21–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,WDDPK5HA4GF118990,230655B,"25,246 mi.",At least 1 accident or damage reported,No,Yes,"$31,993"
2017 Mercedes-Benz G-Class G 550,/vehicledetail/1fb2da31-b269-4267-9f82-66e79e3fde5e/,designo Magno Night Black,Cornsilk,All-wheel Drive,"13–14



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDCYC3KF4HX273517,P2201,"59,500 mi.",None reported,Yes,Yes,"$76,988"
2022 Cadillac XT5 Sport,/vehicledetail/1583846f-c7db-49a1-80d2-b2ccfa4eabc4/,Stellar Black Metallic,Black,All-wheel Drive,"18–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKNGRS2NZ152480,23029L,"6,976 mi.",None reported,Yes,No,"$53,900"
2018 Porsche 718 Boxster Base,/vehicledetail/795c5faf-9c1b-4546-af34-a683ef9ac580/,Red,Black,Rear-wheel Drive,"21–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Manual,2.0L H4 16V GDI DOHC Turbo,WP0CA2A86JS210974,EX210974,"6,890 mi.",None reported,Yes,Yes,"$64,991"
2018 Ford Explorer sport,/vehicledetail/4cfe1609-5131-462d-a252-655a9e8b05f0/,White Platinum Tri-Coat Metallic,Ebony Black,Four-wheel Drive,"16–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FM5K8GT5JGA67325,SMCON67325,"126,500 mi.",At least 1 accident or damage reported,Yes,Yes,"$21,999"
2023 GMC Yukon XL Denali Ultimate,/vehicledetail/e3a08d91-3655-438c-8e59-447c4d4c1d02/,White Frost Tri-Coat,Alpine Umber,Four-wheel Drive,–,Gasoline,10-Speed Automatic with Overdrive,6.2L V8 16V GDI OHV,1GKS2KKL7PR271007,NA11662,"1,402 mi.",None reported,Yes,Yes,"$114,685"
2023 Hyundai Elantra SEL,/vehicledetail/594cb252-b3c7-4584-a003-612b1d3e9efa/,Scarlet Red Pearl,Medium Gray,Front-wheel Drive,–,Gasoline,IVT,2.0L I4 16V MPFI DOHC,KMHLM4AG3PU441964,H22305A,"3,000 mi.",None reported,Yes,Yes,"$22,475"
2020 RAM 1500 Big Horn,/vehicledetail/41f40744-5ed7-4b7f-9db4-f0bd48a1f7b8/,Bright White Clearcoat,Black,Four-wheel Drive,"19–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFFT5LN184434,31T12656,"56,111 mi.",None reported,Yes,Yes,"$35,985"
2021 Kia Stinger GT2,/vehicledetail/059f7c39-01eb-4641-8b73-2c5f824875ef/,Metal,Black,All-wheel Drive,"17–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.3L V6 24V GDI DOHC Twin Turbo,KNAE55LC0M6088347,31T12698,"78,250 mi.",None reported,Yes,Yes,"$34,984"
2022 BMW X5 xDrive40i,/vehicledetail/201b3294-9ddd-4b48-8efd-410f1b0d560f/,Sparkling Brown Metallic,Black,All-wheel Drive,–,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C02N9N19909,SB58476,"6,442 mi.",None reported,Yes,No,"$61,982"
2014 Lexus RX 350 ,/vehicledetail/9cb2e4cc-39e5-408d-bd6c-7e0dd8559f0f/,Stargazer Black,Black,All-wheel Drive,"18–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,JTJBK1BA3E2038975,9029829A,"102,979 mi.",None reported,No,No,"$19,509"
